date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-04-28,10:33,118.4395,280.766,52.4918,527.899
2019-04-28,11:03,118.4603,280.735,45.4471,509.916
2019-04-28,11:33,118.4811,282.030,41.4856,551.726
2019-04-28,12:03,118.5020,282.189,38.2358,472.164
2019-04-28,12:33,118.5228,282.193,35.0960,319.731
2019-04-28,13:03,118.5436,281.933,32.3104,305.682
2019-04-28,13:33,118.5644,282.405,33.0817,428.757
2019-04-28,14:03,118.5853,282.729,32.9882,471.405
2019-04-28,14:33,118.6061,282.581,49.1402,636.499
2019-04-28,15:03,118.6269,280.492,54.8751,579.916
2019-04-28,15:33,118.6478,279.755,56.8906,358.765
2019-04-28,16:03,118.6686,278.401,62.3087,328.853
2019-04-28,16:33,118.6894,277.895,49.0889,134.870
2019-04-28,17:03,118.7103,278.895,38.1576,140.722
2019-04-28,17:33,118.7311,278.743,30.8556,162.398
2019-04-28,18:03,118.7519,277.931,25.7479,152.032
2019-04-28,18:33,118.7727,276.669,25.7511,42.7602
2019-04-28,19:03,118.7936,275.318,26.8841,3.93514
2019-04-28,19:33,118.8144,274.649,25.4807,-3.36458
2019-04-28,20:03,118.8352,274.163,30.4968,-4.49328
2019-04-28,20:33,118.8561,273.448,34.0959,-4.89522
2019-04-28,21:03,118.8769,272.797,37.8718,-5.32561
2019-04-28,21:33,118.8977,271.511,69.5774,-6.81063
2019-04-28,22:03,118.9186,270.654,41.5898,-4.61136
2019-04-28,22:33,118.9394,271.331,41.7850,-4.49632
2019-04-28,23:03,118.9602,270.400,67.6287,-4.77717
2019-04-28,23:33,118.9810,269.609,74.3573,-3.18961
2019-04-29,00:03,119.0020,269.272,74.0280,-2.61080
2019-04-29,00:33,119.0229,268.703,80.0874,-5.05259
2019-04-29,01:03,119.0437,267.275,76.0057,-5.65836
2019-04-29,01:33,119.0645,266.252,78.7684,-5.40233
2019-04-29,02:03,119.0854,265.591,81.4129,-5.41700
2019-04-29,02:33,119.1062,265.041,79.3026,-5.18666
2019-04-29,03:03,119.1270,264.555,80.9988,-5.20183
2019-04-29,03:33,119.1478,264.241,81.2452,-4.72706
2019-04-29,04:03,119.1687,263.892,78.8646,-3.94430
2019-04-29,04:33,119.1895,263.542,78.8743,-3.57086
2019-04-29,05:03,119.2103,263.236,80.3318,-3.39228
2019-04-29,05:33,119.2312,263.281,77.9701,27.6230
2019-04-29,06:03,119.2520,263.648,72.8236,68.8364
2019-04-29,06:33,119.2728,263.762,72.3021,61.7625
2019-04-29,07:03,119.2937,264.224,72.6107,58.9378
2019-04-29,07:33,119.3145,264.245,75.6205,75.4348
2019-04-29,08:03,119.3353,264.325,79.5674,89.6188
2019-04-29,08:33,119.3561,264.093,85.9746,107.788
2019-04-29,09:03,119.3770,264.318,84.9057,206.304
2019-04-29,09:33,119.3978,264.528,88.0852,176.352
2019-04-29,10:03,119.4186,264.602,89.1107,143.533
2019-04-29,10:33,119.4395,265.210,88.9358,216.232
2019-04-29,11:03,119.4603,266.238,87.9551,304.313
2019-04-29,11:33,119.4811,266.466,89.8046,179.587
2019-04-29,12:03,119.5020,267.178,90.0786,194.430
2019-04-29,12:33,119.5228,267.507,91.9126,197.556
